Latitude (decimal degrees):	53.220
Longitude (decimal degrees):	6.550
Radiation database:	PVGIS-CMSAF

Results for: 	All
Slope of plane (deg.):	 0
Azimuth (orientation) of plane (deg.):	 0
Time, UTC		G		Gb		Gd
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		0		0		0
05:45		0		0		0
06:45		0		0		0
07:45		14		1		13
08:45		58		13		44
09:45		83		23		59
10:45		114		35		79
11:45		113		34		78
12:45		98		28		69
13:45		73		18		55
14:45		38		8		30
15:45		3		0		3
16:45		0		0		0
17:45		0		0		0
18:45		0		0		0
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		0		0		0
05:45		0		0		0
06:45		5		1		5
07:45		59		16		43
08:45		114		36		78
09:45		164		56		107
10:45		197		66		130
11:45		204		71		133
12:45		188		64		124
13:45		150		49		101
14:45		92		25		67
15:45		42		10		32
16:45		1		0		1
17:45		0		0		0
18:45		0		0		0
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		0		0		0
05:45		13		2		11
06:45		78		28		50
07:45		175		73		102
08:45		257		116		141
09:45		316		143		173
10:45		342		152		190
11:45		348		149		200
12:45		326		140		186
13:45		281		117		164
14:45		212		88		123
15:45		131		50		81
16:45		44		14		30
17:45		1		0		1
18:45		0		0		0
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		20		5		15
05:45		98		40		58
06:45		210		97		113
07:45		322		161		161
08:45		412		213		198
09:45		486		264		221
10:45		508		265		243
11:45		502		255		247
12:45		487		252		235
13:45		424		211		213
14:45		339		169		170
15:45		230		104		126
16:45		121		51		70
17:45		35		10		25
18:45		0		0		0
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		15		2		13
04:45		83		29		54
05:45		171		73		97
06:45		294		149		145
07:45		386		194		191
08:45		464		237		227
09:45		509		266		243
10:45		532		267		266
11:45		538		264		274
12:45		497		234		263
13:45		436		210		226
14:45		361		163		198
15:45		282		131		151
16:45		185		81		104
17:45		90		33		58
18:45		23		4		19
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		44		8		36
04:45		98		35		63
05:45		197		82		115
06:45		292		123		169
07:45		382		172		210
08:45		449		210		239
09:45		492		227		265
10:45		514		224		290
11:45		531		229		301
12:45		507		213		294
13:45		446		199		247
14:45		383		165		218
15:45		304		127		177
16:45		224		96		128
17:45		123		48		74
18:45		63		12		50
19:45		5		0		5
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		28		3		26
04:45		92		31		60
05:45		176		74		101
06:45		280		135		146
07:45		362		169		193
08:45		441		204		237
09:45		486		231		255
10:45		515		238		277
11:45		511		223		287
12:45		495		218		277
13:45		430		180		251
14:45		366		156		211
15:45		290		122		168
16:45		203		87		116
17:45		112		43		69
18:45		58		10		48
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		51		10		41
05:45		109		44		64
06:45		213		97		117
07:45		316		151		166
08:45		401		194		206
09:45		441		216		225
10:45		471		218		253
11:45		469		218		251
12:45		442		197		245
13:45		393		181		211
14:45		326		139		187
15:45		236		98		138
16:45		143		59		84
17:45		65		20		45
18:45		13		1		12
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		2		0		2
05:45		62		16		46
06:45		135		56		79
07:45		236		110		126
08:45		315		144		171
09:45		352		153		199
10:45		369		155		214
11:45		371		156		216
12:45		336		137		199
13:45		281		111		169
14:45		213		86		127
15:45		129		48		81
16:45		46		16		31
17:45		5		0		5
18:45		0		0		0
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		0		0		0
05:45		6		0		6
06:45		49		16		33
07:45		116		42		74
08:45		183		72		111
09:45		232		91		141
10:45		253		97		156
11:45		234		87		147
12:45		208		71		137
13:45		162		58		104
14:45		101		34		67
15:45		36		10		26
16:45		2		0		2
17:45		0		0		0
18:45		0		0		0
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		0		0		0
05:45		0		0		0
06:45		6		0		6
07:45		51		12		39
08:45		86		23		62
09:45		119		36		83
10:45		137		44		94
11:45		130		39		91
12:45		107		30		77
13:45		74		20		55
14:45		36		6		30
15:45		0		0		0
16:45		0		0		0
17:45		0		0		0
18:45		0		0		0
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0
00:45		0		0		0
01:45		0		0		0
02:45		0		0		0
03:45		0		0		0
04:45		0		0		0
05:45		0		0		0
06:45		0		0		0
07:45		14		0		13
08:45		54		13		42
09:45		79		21		58
10:45		98		29		69
11:45		102		32		70
12:45		80		22		57
13:45		59		15		44
14:45		14		0		14
15:45		0		0		0
16:45		0		0		0
17:45		0		0		0
18:45		0		0		0
19:45		0		0		0
20:45		0		0		0
21:45		0		0		0
22:45		0		0		0
23:45		0		0		0

G: Global irradiance on a fixed plane  (W/m2)
Gb: Direct irradiance on a fixed plane  (W/m2)
Gd: Diffuse irradiance on a fixed plane  (W/m2)

PVGIS (c) European Communities, 2001-2017